config,engine,model,architecture,active_params,precision,hardware,gpus,rps,request_throughput,tps_output,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,tpot_p50_ms,tpot_p90_ms,gpu_util_pct,gpu_power_w,gpu_cost_hr,c_eff_per_mtok,c_naive_per_mtok,underutil_penalty
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,5,4.504688130121344,1153.200161311064,2659.649992831968,937.3890394999762,6430.449643199245,7787.03414963098,55411.31511799995,62251.13480639902,63372.48654797906,215.38436441764597,242.10563688941144,,,13.96,3.362623339706408,3.1286334551417405,1.0747898045327482
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,100,10.999488938753435,2815.8691683208795,12179.787219795995,10907.996020999235,31345.37362599931,33356.9122119006,33729.62168500089,40199.263208100456,40627.30760349921,87.35638855882023,129.44873792980525,92.21551724137932,378.39879310344827,13.96,1.3771157486305097,1.369513892493273,1.0055507696408958
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,10,7.975661785812934,2041.7694171681112,136.71695064726873,115.55592799959413,238.38236480005435,377.3191218407373,11340.226095999242,12918.961539599331,13411.998017219448,43.91932305098082,50.10965480784031,90.58783783783784,377.28885135135135,13.96,1.8992241460625703,1.369513892493273,1.38678706106802
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,1,0.9951743488246775,254.76463329911743,77.37218366200977,74.07184599924221,85.95027670107811,125.34999281859196,6871.502032000535,7015.1215788004265,7493.363886591778,26.66172033921469,27.187110316078947,58.39041095890411,254.85685909980432,13.96,15.221020781267177,1.369513892493273,11.11417771276237
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,200,11.04480710232236,2827.4706181945244,13455.390105816039,12066.737880999426,33469.34634259942,35651.53085313986,34367.799989999185,42528.67824639907,42792.67477071906,86.33202334314382,127.54799950901848,92.32456140350877,379.47421052631574,13.96,1.3714652781268952,1.369513892493273,1.0014248746539325
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,25,11.036685392153116,2825.3914603911976,4925.61294585202,3721.561303499584,17725.453640901105,18239.6059530401,26637.562745499963,33677.33478079972,35392.63610521957,86.7072373568661,128.4342145325511,91.87931034482759,379.0635344827587,13.96,1.3724745162360152,1.369513892493273,1.002161806286866
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,50,11.060544568020033,2831.4994094131284,9970.163492038018,8796.373965000384,27126.349703399683,28315.322003629535,31757.441004999237,35452.77002550083,36454.21022626004,86.45766920980189,128.15179138117804,92.86842105263158,380.00421052631583,13.96,1.369513892493273,1.369513892493273,1.0
S6,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,fp8,H100,2,5,4.898789311187374,1254.0900636639678,92.76991127198926,83.72247400075139,128.6832750998656,192.38274507977619,8497.454378999464,8938.766928899167,9138.843248058456,32.927526870591066,34.650462192550876,82.78508771929825,346.9717543859649,13.96,3.092104698165302,1.369513892493273,2.2578118521572357
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,100,11.32450009710258,2899.0720248582606,13935.353547281986,9520.95494550008,27173.639942900038,29375.635308570363,31319.570139000007,39848.56974709969,39929.69380027036,79.71859145686275,85.38067941411796,85.48387096774194,273.3569354838709,3.67,0.3516450904645207,0.35077453710770456,1.0024818031661997
A1,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,float16,A100_80GB_PCIe,1,10,8.934643805306766,2287.268814158532,216.21552403599617,204.03738150002937,333.27757599990946,492.31513366979925,13856.543166999927,18370.74337250033,18993.634972670112,53.41975989411759,71.04717501490138,87.60810810810811,271.59932432432436,3.67,0.44570381851662233,0.35077453710770456,1.2706276293360768
